labID,"		age","	error","	depth",cc,dR,dSTD,t.a,t.b
EL13-MC_1,-63,1,0,0,0,0,3,4
EL13-MC_2,-5.65,1,10,0,0,0,3,4
EL13-MC_3,47,10,16,0,0,0,3,4
EL13-MC_4,160,30,16.1,3,0,0,3,4
EL13-MC_5,-58.1,2.835,17,0,0,0,3,4
EL13-MC_6,4230,30,20,3,0,0,3,4
EL13-MC_7,4690,30,23.5,3,0,0,3,4
EL13-MC_8,5980,30,28,3,0,0,3,4
EL13-MC_9,6240,40,33,3,0,0,3,4
EL09_1,6628,20,36.12109974,3,0,0,3,4
EL13-MC_10,6560,40,37,3,0,0,3,4
EL13-MC_11,6640,40,47.5,3,0,0,3,4
EL09_2,9317,37,56.83650224,3,0,0,3,4
EL13-MC_12,7060,30,62,3,0,0,3,4
EL09_3,7591,20,69.15742694,3,0,0,3,4
EL09_4,8028,33,72.51618688,3,0,0,3,4
EL06-10-13_8,7500,30,76.4,3,0,0,3,4
EL09_5,8071,67,78,3,0,0,3,4
EL06-10-13_9,7925,33,83.34780686,3,0,0,3,4
EL06-10-13_10,8510,30,85.6,3,0,0,3,4
EL06-10-13_11,9301,25,87.04912568,3,0,0,3,4
EL06-10-13_12,9510,60,89.48163971,3,0,0,3,4
EL06-10-13_13,9560,30,92.8,3,0,0,3,4
EL06-10-13_14,9580,40,93.27928234,3,0,0,3,4
EL06-10-13_15,9770,30,95.6,3,0,0,3,4
EL06-10-13_16,9690,40,97.33079221,3,0,0,3,4
EL06-10-13_17,9790,30,97.6,3,0,0,3,4
EL06-10-13_18,13659,56,97.61966596,3,0,0,3,4
EL06-10-13_19,7902,35,108.6771928,3,0,0,3,4
EL06-10-13_21,8670,50,109.3194323,3,0,0,3,4
EL06-10-13_20,7030,30,109.5,3,0,0,3,4
EL06-10-13_22,8620,40,109.6655054,3,0,0,3,4
