depth	min	max	median	mean
0	-66.46	-60.2	-63.17	-63.2
0.00686	-66.43	-60.19	-63.14	-63.16
0.01372	-66.4	-60.18	-63.1	-63.13
0.02058	-66.39	-60.16	-63.07	-63.09
0.02744	-66.35	-60.11	-63.03	-63.05
0.0343	-66.3	-60.08	-62.99	-63.02
0.04116	-66.25	-60.02	-62.96	-62.98
0.04802	-66.22	-60	-62.94	-62.94
0.05488	-66.19	-59.95	-62.9	-62.91
0.06174	-66.16	-59.88	-62.86	-62.87
0.0686	-66.13	-59.85	-62.83	-62.83
0.07546	-66.1	-59.8	-62.79	-62.79
0.08232	-66.07	-59.74	-62.75	-62.76
0.08918	-66.04	-59.65	-62.71	-62.72
0.09604	-66	-59.59	-62.69	-62.68
0.1029	-65.97	-59.54	-62.65	-62.65
0.10976	-65.93	-59.5	-62.62	-62.61
0.11662	-65.9	-59.45	-62.59	-62.57
0.12348	-65.86	-59.42	-62.56	-62.54
0.13034	-65.82	-59.37	-62.53	-62.5
0.1372	-65.79	-59.3	-62.5	-62.46
0.14406	-65.75	-59.23	-62.47	-62.43
0.15092	-65.72	-59.21	-62.44	-62.39
0.15778	-65.68	-59.17	-62.41	-62.35
0.16464	-65.65	-59.11	-62.38	-62.32
0.1715	-65.62	-59.02	-62.35	-62.28
0.17836	-65.58	-58.97	-62.31	-62.24
0.18522	-65.54	-58.91	-62.28	-62.2
0.19208	-65.51	-58.86	-62.23	-62.17
0.19894	-65.47	-58.81	-62.19	-62.13
0.2058	-65.43	-58.72	-62.16	-62.09
0.21266	-65.39	-58.62	-62.13	-62.06
0.21952	-65.37	-58.53	-62.11	-62.02
0.22638	-65.36	-58.48	-62.08	-61.98
0.23324	-65.35	-58.42	-62.04	-61.95
0.2401	-65.34	-58.37	-62.02	-61.91
0.24696	-65.34	-58.32	-61.99	-61.87
0.25382	-65.3	-58.25	-61.96	-61.84
0.26068	-65.26	-58.16	-61.93	-61.8
0.26754	-65.25	-58.09	-61.91	-61.76
0.2744	-65.23	-58.03	-61.87	-61.72
0.28126	-65.16	-57.98	-61.85	-61.69
0.28812	-65.14	-57.9	-61.82	-61.65
0.29498	-65.12	-57.78	-61.8	-61.61
0.30184	-65.1	-57.66	-61.76	-61.58
0.3087	-65.08	-57.59	-61.73	-61.54
0.31556	-65.06	-57.55	-61.69	-61.5
0.32242	-65.04	-57.5	-61.64	-61.47
0.32928	-65.02	-57.46	-61.62	-61.43
0.33614	-64.99	-57.38	-61.59	-61.39
0.343	-64.97	-57.27	-61.56	-61.36
0.34986	-64.93	-57.18	-61.54	-61.32
0.35672	-64.89	-57.1	-61.51	-61.28
0.36358	-64.88	-56.99	-61.49	-61.25
0.37044	-64.86	-56.88	-61.46	-61.21
0.3773	-64.82	-56.79	-61.44	-61.17
0.38416	-64.79	-56.71	-61.41	-61.13
0.39102	-64.76	-56.64	-61.39	-61.1
0.39788	-64.74	-56.57	-61.36	-61.06
0.40474	-64.71	-56.49	-61.32	-61.02
0.4116	-64.7	-56.42	-61.3	-60.99
0.41846	-64.69	-56.35	-61.27	-60.95
0.42532	-64.68	-56.31	-61.23	-60.91
0.43218	-64.67	-56.22	-61.21	-60.88
0.43904	-64.66	-56.14	-61.18	-60.84
0.4459	-64.64	-56.06	-61.14	-60.8
0.45276	-64.63	-55.99	-61.1	-60.77
0.45962	-64.61	-55.92	-61.07	-60.73
0.46648	-64.6	-55.85	-61.02	-60.69
0.47334	-64.59	-55.77	-60.99	-60.66
0.4802	-64.58	-55.76	-60.95	-60.62
0.48706	-64.57	-55.69	-60.91	-60.58
0.49392	-64.56	-55.6	-60.87	-60.54
0.50078	-64.55	-55.5	-60.83	-60.51
0.50764	-64.54	-55.42	-60.81	-60.47
0.5145	-64.52	-55.34	-60.77	-60.43
0.52136	-64.5	-55.26	-60.74	-60.4
0.52822	-64.46	-55.19	-60.72	-60.36
0.53508	-64.45	-55.12	-60.7	-60.32
0.54194	-64.44	-55.06	-60.67	-60.29
0.5488	-64.42	-55.03	-60.63	-60.25
0.55566	-64.41	-54.99	-60.61	-60.21
0.56252	-64.39	-54.9	-60.57	-60.18
0.56938	-64.37	-54.8	-60.54	-60.14
0.57624	-64.36	-54.72	-60.5	-60.1
0.5831	-64.36	-54.64	-60.47	-60.06
0.58996	-64.35	-54.55	-60.45	-60.03
0.59682	-64.35	-54.48	-60.42	-59.99
0.60368	-64.35	-54.38	-60.39	-59.95
0.61054	-64.34	-54.31	-60.38	-59.92
0.6174	-64.33	-54.23	-60.35	-59.88
0.62426	-64.32	-54.14	-60.32	-59.84
0.63112	-64.31	-54.06	-60.29	-59.81
0.63798	-64.3	-53.99	-60.25	-59.77
0.64484	-64.28	-53.92	-60.22	-59.73
0.6517	-64.28	-53.85	-60.17	-59.7
0.65856	-64.26	-53.78	-60.15	-59.66
0.66542	-64.25	-53.71	-60.13	-59.62
0.67228	-64.2	-53.64	-60.11	-59.59
